code	occupation	gender	conversations	birth-region	age-range	study-level
BO002	stud	F	BOA3001	toscana	21-25
BO003	stud	F	BOA3001	emilia-romagna	21-25
BO005	stud	F	BOA1025	estero	21-25
BO007	stud	F	BOA3002	toscana	21-25
BO008	stud	M	BOA3002	puglia	21-25
BO009	stud	F	BOA3002	emilia-romagna	21-25
BO010	stud	F	BOA3002	emilia-romagna	21-25
BO013	intell	M	BOD1001	emilia-romagna	51-55
BO014	stud	F	BOD2001	emilia-romagna	21-25
BO016	stud	F	BOA3003	emilia-romagna	21-25
BO017	stud	F	BOA3003	emilia-romagna	21-25
BO018	stud	F	BOA3003	toscana	21-25
BO019	stud	F	BOA3003	lombardia	21-25
BO020	stud	F	BOA1001	campania	21-25
BO021	stud	F	BOA3004;BOA3006;BOD2005;BOA3007	campania	21-25
BO026	intell	F	BOA1001;BOA1002;BOA1003;BOA1004;BOA1005;BOA1006;BOA1007;BOA1008;BOA1009;BOA1010;BOA1011;BOA1012;BOA1013;BOA1014;BOA1015	basilicata	56-60
BO027	stud	F	BOA1004	marche	26-30
BO028	stud	F	BOA1002	molise	21-25
BO029	stud	F	BOA1002	sicilia	21-25
BO030	stud	F	BOA1002	sicilia	21-25
BO031	stud	F	BOA1002	sicilia	21-25
BO032	stud	F	BOA1002;BOA1003	emilia-romagna	21-25
BO033	stud	F	BOA1005	lazio	21-25
BO034	stud	F	BOA1006	veneto	21-25
BO035	stud	F	BOA1007	emilia-romagna	21-25
BO036	stud	M	BOA1008	calabria	26-30
BO037	stud	F	BOA1009	trentino-alto-adige	21-25
BO038	stud	F	BOA1010	campania	21-25
BO039	stud	F	BOA1010	marche	21-25
BO040	stud	F	BOA1011	basilicata	21-25
BO041	stud	F	BOA1011	puglia	26-30
BO042	stud	F	BOA1012	veneto	21-25
BO043	stud	F	BOA1013	abruzzo	21-25
BO044	stud	F	BOA1014	sicilia	26-30
BO045	stud	F	BOA1015	sardegna	26-30
BO046	stud	F	BOA3004	trentino-alto-adige	21-25
BO047	stud	M	BOA3004	puglia	21-25
BO048	stud	F	BOA3004;BOA3006;BOA3007	piemonte	21-25
BO049	stud	F	BOD2006;BOD2007;BOD2008;BOD2010;BOD2011	emilia-romagna	21-25
BO051	stud	M	BOD2006	emilia-romagna	26-30
BO052	stud	M	BOD2007	emilia-romagna	21-25
BO053	stud	M	BOD2008	emilia-romagna	21-25
BO054	stud	F	BOD2009	emilia-romagna	21-25
BO056	stud	M	BOD2009	emilia-romagna	21-25
BO057	stud	F	BOD2003	calabria	21-25
BO070	stud	F	BOD2003	N/A	N/A
BO071	stud	M	BOA3006;BOA3007	lombardia	21-25
BO072	stud	M	BOD2005;BOA3006;BOA3007	calabria	21-25
BO073	stud	F	BOD2005	basilicata	21-25
BO074	stud	M	BOD2010	emilia-romagna	21-25
BO075	stud	M	BOD2011	emilia-romagna	21-25
BO082	intell	M	BOA1016;BOA1017;BOA1018	emilia-romagna	41-45
BO083	stud	F	BOA1016	emilia-romagna	21-25
BO084	stud	F	BOA1017	veneto	21-25
BO085	stud	F	BOA1018	lombardia	21-25
BO086	stud	F	BOA3015	estero	21-25
BO087	intell	M	BOC1001;BOC1002;BOC1003;BOC1004	emilia-romagna	41-45
BO088	stud	F	BOC1001	emilia-romagna	21-25
BO089	stud	F	BOC1002	marche	21-25
BO090	stud	M	BOC1003	sicilia	21-25
BO091	stud	M	BOC1004	emilia-romagna	21-25
BO092	intell	M	BOC1006;BOD1003	emilia-romagna	61-65
BO093	intell	F	BOD1004	emilia-romagna	41-45
BO094	intell	F	BOD1005	toscana	66-70
BO095	stud	F	BOA3010;BOA3011;BOA3012;BOA3013	sicilia	21-25
BO096	stud	F	BOA3010	sicilia	21-25
BO097	stud	F	BOA3011;BOA3012;BOA3013	lombardia	21-25
BO098	stud	M	BOD2013	emilia-romagna	21-25
BO099	intell	F	BOD1006	emilia-romagna	66-70
BO100	intell	M	BOD1007	piemonte	31-35
BO102	intell	M	BOD1009	estero	31-35
BO103	intell	M	BOD1010	lazio	51-55
BO104	intell	F	BOC1005;BOC1007	emilia-romagna	36-40
BO105	stud	F	BOC1005	emilia-romagna	21-25
BO112	intell	F	BOD1011	emilia-romagna	51-55
BO113	stud	M	BOD2014	emilia-romagna	21-25
